generation,leftchild,rightchild,abstime,lambdainit,lambdashift,muinit,mushift
1410000,grahami,hendersoni,0,0.204301,-0.0361917,0.0215545,0
1420000,grahami,hendersoni,0,0.16412,-0.0378671,0.00643979,0
1430000,grahami,hendersoni,0,0.298616,-0.0590283,0.00637305,0
1440000,grahami,hendersoni,0,0.258215,-0.0451316,0.0054493,0
1440000,argenteolus,NA,41.3648,0.384172,-0.00491313,0.297424,0
1450000,grahami,hendersoni,0,0.263018,-0.0458799,0.00717306,0
1460000,grahami,hendersoni,0,0.215508,-0.0462942,0.00868285,0
1470000,grahami,hendersoni,0,0.159192,-0.0322296,0.00924288,0
1480000,grahami,hendersoni,0,0.097237,-0.0188712,0.00462048,0
1490000,grahami,hendersoni,0,0.19815,-0.0384741,0.0224398,0
1500000,grahami,hendersoni,0,0.174488,-0.0347656,8.59153e-005,0
1510000,grahami,hendersoni,0,0.163908,-0.0380167,0.000300832,0
1520000,grahami,hendersoni,0,0.205938,-0.0430552,0.013061,0
1530000,grahami,hendersoni,0,0.261868,-0.0416856,0.0185267,0
1540000,grahami,hendersoni,0,0.198948,-0.0350805,0.0224018,0
1550000,grahami,hendersoni,0,0.313557,-0.0496775,0.0326908,0
1560000,grahami,hendersoni,0,0.181416,-0.0340545,0.0311995,0
1570000,grahami,hendersoni,0,0.250761,-0.0525182,0.000432522,0
1580000,grahami,hendersoni,0,0.187167,-0.0371615,0.0166184,0
1590000,grahami,hendersoni,0,0.207596,-0.0470585,0.00218169,0
1590000,inexpectatus,alutaceus,35.1439,0.0299587,-0.0140538,0.0217978,0
1600000,grahami,hendersoni,0,0.286307,-0.0471356,0.0130085,0
1610000,grahami,hendersoni,0,0.218226,-0.0388619,0.0103216,0
1620000,grahami,hendersoni,0,0.197892,-0.0341897,0.0160847,0
1620000,smallwoodi,equestris,40.0704,0.857111,-0.0148665,0.324626,0
1630000,grahami,hendersoni,0,0.20206,-0.0336135,0.0239259,0
1640000,grahami,hendersoni,0,0.184039,-0.035116,0.0142892,0
1650000,grahami,hendersoni,0,0.130254,-0.0294942,0.00546192,0
1660000,grahami,hendersoni,0,0.165321,-0.0353052,0.0131968,0
1670000,grahami,hendersoni,0,0.243748,-0.0450909,0.00222648,0
1680000,grahami,hendersoni,0,0.153157,-0.0359562,0.00564581,0
1690000,grahami,hendersoni,0,0.30436,-0.0589031,0.0161559,0
1700000,grahami,hendersoni,0,0.200939,-0.0389894,0.0203778,0
1710000,grahami,hendersoni,0,0.19454,-0.0363622,0.013961,0
1720000,grahami,hendersoni,0,0.229107,-0.0372196,0.0206426,0
1730000,grahami,hendersoni,0,0.196649,-0.0436125,0.0154529,0
